policy,condition,seed,cell,episode,success,failure_mode,frames,duration_s,n_releases,n_kept,nearest_release_deg,max_travel_deg
clean,clean,1000,reduced_lighting,12,1,success,613,20.4,1,1,3.6611740402731634,44.64728980144396
clean,clean,1000,reduced_lighting,13,1,success,784,26.1,1,1,3.7063350551631906,45.58347897891511
clean,clean,1000,reduced_lighting,14,0,contact_no_grasp,1151,38.333,5,0,40.90200583782253,9.053197729918809
clean,clean,1000,reduced_lighting,15,1,success,1061,35.333,1,1,2.0142732962886463,47.01347224764948
clean-seed2000,clean,2000,different_object,1,1,success,831,27.667,1,1,2.502792741910728,47.26848670377571
clean-seed2000,clean,2000,different_object,2,1,success,742,24.7,1,1,2.03681400154122,47.36549912026609
clean-seed2000,clean,2000,different_object,3,0,no_departure,1151,38.333,0,0,,
clean-seed2000,clean,2000,different_object,4,1,success,1151,38.333,1,1,2.4923338112529585,46.82214491780154
clean-seed2000,clean,2000,different_object,5,1,success,757,25.2,1,1,2.6767138493303015,46.9625182045695
clean-seed2000,clean,2000,different_object,6,1,success,464,15.433,1,1,4.359726036997419,44.78746226805917
clean-seed2000,clean,2000,different_object,7,1,success,1151,38.333,1,1,2.6151760414435508,46.97378403421937
clean-seed2000,clean,2000,different_object,8,1,success,774,25.767,1,1,2.7193365698572656,47.35354579820142
clean-seed2000,clean,2000,different_object,9,0,no_departure,1151,38.333,0,0,,
clean-seed2000,clean,2000,different_object,10,1,success,891,29.667,1,1,3.137619619354826,45.7644613571109
clean-seed2000,clean,2000,different_object,11,1,success,601,20.0,1,1,3.1442521119670666,46.51442512212815
clean-seed2000,clean,2000,different_object,12,0,timeout_other,1151,38.333,0,0,,
clean-seed2000,clean,2000,different_object,13,1,success,1150,38.3,1,1,4.2929542408053685,44.55562354307393
clean-seed2000,clean,2000,different_object,14,1,success,889,29.6,1,1,1.2703051888046666,48.20581024373129
clean-seed2000,clean,2000,different_object,15,1,success,1101,36.667,1,1,2.6085417396407387,46.94025430547341
clean-seed2000,clean,2000,distractors,1,0,grasp_drop,449,14.933,1,0,44.70385607897036,5.090354857130748
clean-seed2000,clean,2000,distractors,2,1,success,483,16.067,1,1,3.42314788355473,46.9070339483141
clean-seed2000,clean,2000,distractors,3,0,contact_no_grasp,1149,38.267,8,0,44.13102292543546,5.05238175635651
clean-seed2000,clean,2000,distractors,4,0,contact_no_grasp,1151,38.333,6,0,44.831906968798336,3.6767709468232965
clean-seed2000,clean,2000,distractors,5,1,success,510,16.967,1,1,3.534152579876821,45.163772096442706
clean-seed2000,clean,2000,distractors,6,1,success,677,22.533,1,1,2.7561517886697438,45.82883416661342
clean-seed2000,clean,2000,distractors,7,1,success,478,15.9,1,1,1.8547931479609723,49.27731421114994
clean-seed2000,clean,2000,distractors,8,1,success,536,17.833,1,1,3.254771945217673,46.70701888537178
clean-seed2000,clean,2000,distractors,9,1,success,601,20.0,1,1,5.043560268473282,43.93305935928116
clean-seed2000,clean,2000,distractors,10,0,contact_no_grasp,1151,38.333,8,0,39.805899592502186,4.7676622003392755
clean-seed2000,clean,2000,distractors,11,1,success,482,16.033,1,1,4.496153479142546,45.06524719663977
clean-seed2000,clean,2000,distractors,12,1,success,538,17.9,1,1,4.140461186440728,44.87228797690196
clean-seed2000,clean,2000,distractors,13,1,success,446,14.833,1,1,2.657359128663156,47.389575828308566
clean-seed2000,clean,2000,distractors,14,1,success,536,17.833,1,1,3.294270193638429,46.25521153469995
clean-seed2000,clean,2000,distractors,15,0,contact_no_grasp,1151,38.333,6,0,46.743130454367346,2.6320050067686154
clean-seed2000,clean,2000,in_distribution,1,1,success,401,13.333,1,1,3.3346712281512545,47.14139649413789
clean-seed2000,clean,2000,in_distribution,2,1,success,618,20.567,1,1,2.6355439088272483,46.560000441657614
clean-seed2000,clean,2000,in_distribution,3,1,success,445,14.8,1,1,2.5706192962023273,47.383970955937386
clean-seed2000,clean,2000,in_distribution,4,1,success,443,14.733,1,1,2.8946941745856627,48.00311757875238
clean-seed2000,clean,2000,in_distribution,5,1,success,431,14.333,1,1,2.4532064468980757,47.656847550514435
clean-seed2000,clean,2000,in_distribution,6,1,success,487,16.2,1,1,2.5380520568370777,48.03231067771342
clean-seed2000,clean,2000,in_distribution,7,1,success,435,14.467,1,1,3.2329350150949843,46.49526579404205
clean-seed2000,clean,2000,in_distribution,8,1,success,711,23.667,1,1,2.813837829843056,46.603301608646554
clean-seed2000,clean,2000,in_distribution,9,1,success,601,20.0,1,1,3.8973783420923844,45.09008376471966
clean-seed2000,clean,2000,in_distribution,10,1,success,651,21.667,1,1,4.3845499407433515,45.29675303056101
clean-seed2000,clean,2000,in_distribution,11,1,success,620,20.633,1,1,3.1453846652609165,46.7650486727525
clean-seed2000,clean,2000,in_distribution,12,1,success,429,14.267,1,1,2.8215051794586294,47.558375117237894
clean-seed2000,clean,2000,in_distribution,13,1,success,508,16.9,1,1,2.7329416829080238,45.872430231664495
clean-seed2000,clean,2000,in_distribution,14,1,success,580,19.3,1,1,3.086560643222054,46.79716180528586
clean-seed2000,clean,2000,in_distribution,15,1,success,541,18.0,1,1,1.3376360248813874,48.810463440927975
clean-seed2000,clean,2000,near_1in,1,1,success,549,18.267,1,1,2.2973501072726243,48.31679684814773
clean-seed2000,clean,2000,near_1in,2,0,contact_no_grasp,1147,38.2,3,0,48.85669743113618,2.0998714041898126
clean-seed2000,clean,2000,near_1in,3,1,success,597,19.867,1,1,2.0117169100199312,47.177819118597704
clean-seed2000,clean,2000,near_1in,4,0,contact_no_grasp,1148,38.233,2,0,49.3600359566783,2.848720707818856
clean-seed2000,clean,2000,near_1in,5,0,contact_no_grasp,1148,38.233,3,1,29.131256656000886,18.56690750476537
clean-seed2000,clean,2000,near_1in,6,1,success,513,17.067,1,1,4.310383982711084,45.07713900622522
clean-seed2000,clean,2000,near_1in,7,0,contact_no_grasp,1150,38.3,1,0,44.30045633565791,4.989093556597858
clean-seed2000,clean,2000,near_1in,8,0,contact_no_grasp,1148,38.233,4,0,45.900534323218224,2.01157747703342
clean-seed2000,clean,2000,near_2in,1,0,timeout_other,1131,37.667,0,0,,
clean-seed2000,clean,2000,near_2in,2,0,timeout_other,1150,38.3,4,0,41.242972223918414,7.6077186945411
clean-seed2000,clean,2000,near_2in,3,0,timeout_other,1145,38.133,3,0,48.17707137691511,3.654190439378283
clean-seed2000,clean,2000,near_2in,4,0,timeout_other,1149,38.267,2,2,29.707079610019285,17.007984871109183
clean-seed2000,clean,2000,near_2in,5,0,timeout_other,1149,38.267,2,0,48.14722516016002,1.7321100012271415
clean-seed2000,clean,2000,near_2in,6,0,timeout_other,1149,38.267,2,0,48.170259774436914,1.6734723258164976
clean-seed2000,clean,2000,near_2in,7,0,timeout_other,1149,38.267,3,0,49.39363986223745,4.751916814849814
clean-seed2000,clean,2000,near_2in,8,0,contact_no_grasp,1146,38.167,0,0,,
clean-seed2000,clean,2000,new_positions,1,0,timeout_other,1151,38.333,4,0,47.882321668404074,2.794018021887652
clean-seed2000,clean,2000,new_positions,2,0,timeout_other,1151,38.333,2,0,49.528384757156886,0.6695868557744333
clean-seed2000,clean,2000,new_positions,3,0,timeout_other,1151,38.333,0,0,,
clean-seed2000,clean,2000,new_positions,4,0,no_departure,1151,38.333,0,0,,
clean-seed2000,clean,2000,new_positions,5,0,no_departure,1151,38.333,0,0,,
clean-seed2000,clean,2000,new_positions,6,0,no_departure,1151,38.333,0,0,,
clean-seed2000,clean,2000,new_positions,7,0,no_departure,1151,38.333,0,0,,
clean-seed2000,clean,2000,new_positions,8,0,timeout_other,1151,38.333,1,0,48.15802964621575,0.4037136378755122
clean-seed2000,clean,2000,new_positions,9,0,timeout_other,1150,38.3,3,0,48.62651592470871,3.615690864149549
clean-seed2000,clean,2000,new_positions,10,0,timeout_other,1151,38.333,3,0,48.096689040100614,4.00448410743337
clean-seed2000,clean,2000,new_positions,11,0,timeout_other,1148,38.233,3,0,45.9850325685687,1.8961493097792683
clean-seed2000,clean,2000,new_positions,12,0,timeout_other,1151,38.333,2,0,47.378098448675544,2.1929361668667866
clean-seed2000,clean,2000,new_positions,13,0,timeout_other,1151,38.333,2,0,44.73041318727781,1.3535839144011739
clean-seed2000,clean,2000,new_positions,14,0,timeout_other,1149,38.267,0,0,,
clean-seed2000,clean,2000,new_positions,15,0,timeout_other,1151,38.333,3,0,47.57186999497715,2.594433546299861
clean-seed2000,clean,2000,reduced_lighting,1,0,no_departure,1151,38.333,0,0,,
clean-seed2000,clean,2000,reduced_lighting,2,1,success,575,19.133,1,1,1.970764072384707,47.277646635607624
clean-seed2000,clean,2000,reduced_lighting,3,0,contact_no_grasp,1151,38.333,5,1,38.811503326974915,10.778525980312075
clean-seed2000,clean,2000,reduced_lighting,4,1,success,803,26.733,1,1,3.2421872156457248,45.278697308719714
clean-seed2000,clean,2000,reduced_lighting,5,0,timeout_other,1151,38.333,0,0,,
clean-seed2000,clean,2000,reduced_lighting,6,0,timeout_other,1150,38.3,0,0,,
clean-seed2000,clean,2000,reduced_lighting,7,1,success,696,23.167,1,1,4.128187637646004,44.889956531962284
clean-seed2000,clean,2000,reduced_lighting,8,1,success,889,29.6,1,1,4.25804771803924,44.58340547339406
clean-seed2000,clean,2000,reduced_lighting,9,1,success,757,25.2,1,1,3.247555084052852,45.12204492524554
clean-seed2000,clean,2000,reduced_lighting,10,1,success,804,26.767,1,1,1.3543420905610013,48.31788598086801
clean-seed2000,clean,2000,reduced_lighting,11,0,contact_no_grasp,1151,38.333,6,1,37.75231632892456,11.66875628985393
clean-seed2000,clean,2000,reduced_lighting,12,1,success,519,17.267,1,1,2.6017952680228866,47.3926623074129
clean-seed2000,clean,2000,reduced_lighting,13,0,contact_no_grasp,1149,38.267,6,0,45.948119653465696,1.930227223266506
clean-seed2000,clean,2000,reduced_lighting,14,1,success,651,21.667,1,1,3.8122486892346394,45.626966492532276
clean-seed2000,clean,2000,reduced_lighting,15,1,success,648,21.567,1,1,2.333061719840291,46.40130548203526
color,color,1000,different_object,1,1,success,401,13.333,1,1,0.9322760235914807,47.08932979886027
color,color,1000,different_object,2,1,success,392,13.033,1,1,2.134389076297392,46.503177384383925
color,color,1000,different_object,3,1,success,401,13.333,1,1,1.5298878511081817,48.96201571619868
color,color,1000,different_object,4,1,success,389,12.933,1,1,1.221572831738822,49.30858064249877
color,color,1000,different_object,5,1,success,385,12.8,1,1,1.6729948248202469,48.08204713554298
color,color,1000,different_object,6,1,success,401,13.333,1,1,1.5109130604597318,46.697886091398345
color,color,1000,different_object,7,1,success,353,11.733,1,1,1.3108129655608387,47.746556264692856
color,color,1000,different_object,8,1,success,401,13.333,1,1,3.101063114793181,47.293970962077964
color,color,1000,different_object,9,1,success,413,13.733,1,1,2.53321609045614,47.00423632981383
color,color,1000,different_object,10,1,success,384,12.767,1,1,1.1260403331308346,46.798243701243884
color,color,1000,different_object,11,1,success,400,13.3,1,1,1.5382354563762881,47.764946686788726
color,color,1000,different_object,12,1,success,392,13.033,1,1,2.4952158518234206,47.59481945198449
color,color,1000,different_object,13,1,success,401,13.333,1,1,1.5057785776355281,48.43208389853779
color,color,1000,different_object,14,1,success,340,11.3,1,1,2.9078162337554936,47.51984116738842
color,color,1000,different_object,15,1,success,401,13.333,1,1,1.311905716662256,49.06372298220591
color,color,1000,distractors,1,1,success,403,13.4,1,1,3.7270973260901137,46.56936843040453
color,color,1000,distractors,2,1,success,358,11.9,1,1,2.6262898990859433,47.35998470742317
color,color,1000,distractors,3,1,success,403,13.4,1,1,1.4986576035706598,48.11572340872473
color,color,1000,distractors,4,1,success,371,12.333,1,1,2.2449613760743894,48.66867536713798
color,color,1000,distractors,5,1,success,418,13.9,1,1,3.792231804820606,45.85717151843709
color,color,1000,distractors,6,1,success,441,14.667,1,1,4.327321624783043,46.29742175977804
color,color,1000,distractors,7,1,success,385,12.8,1,1,2.487114296472182,48.97745173010148
color,color,1000,distractors,8,1,success,434,14.433,1,1,4.033827494524299,46.291478568771154
color,color,1000,distractors,9,1,success,418,13.9,1,1,2.719966168173979,47.390634204789244
color,color,1000,distractors,10,1,success,414,13.767,1,1,3.63205330893474,46.98034235001844
color,color,1000,distractors,11,0,contact_no_grasp,1151,38.333,11,0,44.797130707752906,4.537113428227052
color,color,1000,distractors,12,1,success,429,14.267,1,1,3.4316854538321913,47.37764602572124
color,color,1000,distractors,13,1,success,394,13.1,1,1,4.5801795257554865,46.33753694218154
color,color,1000,distractors,14,0,contact_no_grasp,1151,38.333,11,1,38.06551616282012,11.195974992959044
color,color,1000,distractors,15,1,success,475,15.8,1,1,2.1131546066329285,47.707821494690634
color,color,1000,in_distribution,1,1,success,355,11.8,1,1,2.5921323812138333,46.677813122076785
color,color,1000,in_distribution,2,1,success,464,15.433,1,1,2.05036664806558,47.72311458253878
color,color,1000,in_distribution,3,1,success,431,14.333,1,1,1.9832384413321726,46.9573204000755
color,color,1000,in_distribution,4,1,success,635,21.133,3,1,1.748407315151983,46.780320050313854
color,color,1000,in_distribution,5,1,success,405,13.467,1,1,2.0440181983720827,47.57899988968186
color,color,1000,in_distribution,6,1,success,351,11.667,1,1,2.1519545074954998,48.2734486422041
color,color,1000,in_distribution,7,1,success,380,12.633,1,1,1.9974369688883336,47.17208398450583
color,color,1000,in_distribution,8,0,contact_no_grasp,1146,38.167,8,2,14.676865002594614,34.38065981804769
color,color,1000,in_distribution,9,1,success,425,14.133,1,1,1.8285942593854365,47.001489978535766
color,color,1000,in_distribution,10,1,success,446,14.833,1,1,1.5554046748406058,48.137748494666205
color,color,1000,in_distribution,11,0,grasp_drop,1148,38.233,5,0,48.5746518587744,3.757241933975493
color,color,1000,in_distribution,12,1,success,400,13.3,1,1,1.6077481762747148,48.89607795685721
color,color,1000,in_distribution,13,1,success,343,11.4,1,1,2.5461952235713134,48.24062087939746
color,color,1000,in_distribution,14,1,success,401,13.333,1,1,2.5179031015117808,47.31492319801424
color,color,1000,in_distribution,15,1,success,395,13.133,1,1,3.2350770967242504,46.716256612398
color,color,1000,new_positions,1,0,timeout_other,1149,38.267,8,0,46.809833501317925,3.3552542638992335
color,color,1000,new_positions,2,0,timeout_other,1149,38.267,6,0,48.82842521017287,0.7540923378871653
color,color,1000,new_positions,3,0,timeout_other,1151,38.333,9,0,48.757137674329925,2.1795879588763043
color,color,1000,new_positions,4,0,timeout_other,1150,38.3,3,0,45.95346762077661,3.3825115289554404
color,color,1000,new_positions,5,0,timeout_other,1151,38.333,7,0,48.807536295906374,1.1349179059215828
color,color,1000,new_positions,6,0,timeout_other,1151,38.333,5,0,49.0378191170055,0.7874103913369979
color,color,1000,new_positions,7,0,timeout_other,1151,38.333,2,0,47.919809906106835,1.1418434874054029
color,color,1000,new_positions,8,0,timeout_other,1151,38.333,8,0,46.61952474575821,1.6390778039803422
color,color,1000,new_positions,9,0,timeout_other,1151,38.333,5,0,46.66352245111477,2.0557796209238646
color,color,1000,new_positions,10,0,timeout_other,1151,38.333,7,0,46.728170257583216,4.213865349932043
color,color,1000,new_positions,11,0,timeout_other,1151,38.333,7,0,46.403565286364255,1.5255782338687496
color,color,1000,new_positions,12,0,timeout_other,1151,38.333,9,0,48.43408498861595,2.0965370659780334
color,color,1000,new_positions,13,0,timeout_other,1151,38.333,8,0,45.19801296239379,2.4835627300795977
color,color,1000,new_positions,14,0,timeout_other,1150,38.3,8,0,39.77300398504935,2.6142098083687184
color,color,1000,new_positions,15,0,timeout_other,1115,37.133,7,1,46.76219027697236,12.793723195368942
color,color,1000,reduced_lighting,1,1,success,332,11.033,1,1,2.8655336410547996,45.94285116522668
color,color,1000,reduced_lighting,2,0,contact_no_grasp,1151,38.333,11,0,47.793249789304625,2.2488347277616256
color,color,1000,reduced_lighting,3,1,success,390,12.967,1,1,1.9744946233302691,48.57514021491404
color,color,1000,reduced_lighting,4,1,success,383,12.733,1,1,2.888640622954302,46.2320032381288
