condition,eval_cell,seed,episode,success
randomized,new_positions,1000,8,0
randomized,new_positions,1000,9,0
randomized,new_positions,1000,10,0
randomized,new_positions,1000,11,0
randomized,new_positions,1000,12,0
randomized,new_positions,1000,13,0
randomized,new_positions,1000,14,0
randomized,new_positions,1000,15,0
randomized,reduced_lighting,1000,1,0
randomized,reduced_lighting,1000,2,0
randomized,reduced_lighting,1000,3,1
randomized,reduced_lighting,1000,4,1
randomized,reduced_lighting,1000,5,1
randomized,reduced_lighting,1000,6,0
randomized,reduced_lighting,1000,7,0
randomized,reduced_lighting,1000,8,0
randomized,reduced_lighting,1000,9,1
randomized,reduced_lighting,1000,10,0
randomized,reduced_lighting,1000,11,0
randomized,reduced_lighting,1000,12,0
randomized,reduced_lighting,1000,13,1
randomized,reduced_lighting,1000,14,0
randomized,reduced_lighting,1000,15,0
randomized,different_object,1000,1,0
randomized,different_object,1000,2,0
randomized,different_object,1000,3,0
randomized,different_object,1000,4,0
randomized,different_object,1000,5,0
randomized,different_object,1000,6,0
randomized,different_object,1000,7,0
randomized,different_object,1000,8,0
randomized,different_object,1000,9,0
randomized,different_object,1000,10,0
randomized,different_object,1000,11,0
randomized,different_object,1000,12,0
randomized,different_object,1000,13,0
randomized,different_object,1000,14,0
randomized,different_object,1000,15,0
randomized,distractors,1000,1,0
randomized,distractors,1000,2,0
randomized,distractors,1000,3,0
randomized,distractors,1000,4,1
randomized,distractors,1000,5,0
randomized,distractors,1000,6,0
randomized,distractors,1000,7,0
randomized,distractors,1000,8,0
randomized,distractors,1000,9,0
randomized,distractors,1000,10,0
randomized,distractors,1000,11,0
randomized,distractors,1000,12,0
randomized,distractors,1000,13,0
randomized,distractors,1000,14,0
randomized,distractors,1000,15,0
recovery,in_distribution,1000,1,0
recovery,in_distribution,1000,2,1
recovery,in_distribution,1000,3,1
recovery,in_distribution,1000,4,0
recovery,in_distribution,1000,5,0
recovery,in_distribution,1000,6,0
recovery,in_distribution,1000,7,0
recovery,in_distribution,1000,8,1
recovery,in_distribution,1000,9,1
recovery,in_distribution,1000,10,1
recovery,in_distribution,1000,11,1
recovery,in_distribution,1000,12,0
recovery,in_distribution,1000,13,0
recovery,in_distribution,1000,14,1
recovery,in_distribution,1000,15,1
recovery,new_positions,1000,1,0
recovery,new_positions,1000,2,0
recovery,new_positions,1000,3,0
recovery,new_positions,1000,4,0
recovery,new_positions,1000,5,0
recovery,new_positions,1000,6,0
recovery,new_positions,1000,7,0
recovery,new_positions,1000,8,0
recovery,new_positions,1000,9,0
recovery,new_positions,1000,10,0
recovery,new_positions,1000,11,0
recovery,new_positions,1000,12,0
recovery,new_positions,1000,13,0
recovery,new_positions,1000,14,0
recovery,new_positions,1000,15,0
recovery,reduced_lighting,1000,1,0
recovery,reduced_lighting,1000,2,0
recovery,reduced_lighting,1000,3,0
recovery,reduced_lighting,1000,4,0
recovery,reduced_lighting,1000,5,1
recovery,reduced_lighting,1000,6,0
recovery,reduced_lighting,1000,7,1
recovery,reduced_lighting,1000,8,1
recovery,reduced_lighting,1000,9,0
recovery,reduced_lighting,1000,10,0
recovery,reduced_lighting,1000,11,1
recovery,reduced_lighting,1000,12,1
recovery,reduced_lighting,1000,13,1
recovery,reduced_lighting,1000,14,0
recovery,reduced_lighting,1000,15,1
recovery,different_object,1000,1,0
recovery,different_object,1000,2,1
