_step,train/losses_after_rm_padding,run
6000,0.0582834478933364,clean
6200,0.0561290886998176,clean
6400,0.0547852314636111,clean
6600,0.0532497018761932,clean
6800,0.0518804738484323,clean
7000,0.0524107756279408,clean
7200,0.0521755920071154,clean
7400,0.0503710661176592,clean
7600,0.0484701938182115,clean
7800,0.0500657093711197,clean
8000,0.0487824945989996,clean
8200,0.0493256082758307,clean
8400,0.0476328734122216,clean
8600,0.0478697585873305,clean
8800,0.0474963859096169,clean
9000,0.0485182914230972,clean
9200,0.0477439519204199,clean
9400,0.0480185599438846,clean
9600,0.0473110705893486,clean
9800,0.0481646859459579,clean
200,0.3169697553664445,color-seed2000
400,0.2045313531160354,color-seed2000
600,0.1862905624508857,color-seed2000
800,0.1652006110548973,color-seed2000
1000,0.1559738201275468,color-seed2000
1200,0.1472584303840994,color-seed2000
1400,0.1426441291347146,color-seed2000
1600,0.1378666162118315,color-seed2000
1800,0.1281262214854359,color-seed2000
2000,0.1230628125742077,color-seed2000
2200,0.1190654369816184,color-seed2000
2400,0.1166984567046165,color-seed2000
2600,0.109252844043076,color-seed2000
2800,0.109014114588499,color-seed2000
3000,0.1028355875238776,color-seed2000
3200,0.0997156124748289,color-seed2000
3400,0.0971272362582385,color-seed2000
3600,0.0923752003721892,color-seed2000
3800,0.0898611893132328,color-seed2000
4000,0.0852455382049083,color-seed2000
4200,0.0813105309568345,color-seed2000
4400,0.0811857222765684,color-seed2000
4600,0.0778750413656234,color-seed2000
4800,0.0757144757546484,color-seed2000
5000,0.0730006642639637,color-seed2000
5200,0.0711484369076788,color-seed2000
5400,0.0678276468254625,color-seed2000
5600,0.0670053945668041,color-seed2000
5800,0.063150813318789,color-seed2000
6000,0.0626758448779583,color-seed2000
6200,0.0623438336700201,color-seed2000
6400,0.0613513890188187,color-seed2000
6600,0.0592881692014634,color-seed2000
6800,0.0576967189833521,color-seed2000
7000,0.0556818973831832,color-seed2000
7200,0.0542263759952038,color-seed2000
7400,0.0553295750822871,color-seed2000
7600,0.054585729278624,color-seed2000
7800,0.0540679299645125,color-seed2000
8000,0.0529503369703888,color-seed2000
8200,0.0512978862505406,color-seed2000
8400,0.0501882758177816,color-seed2000
8600,0.051790201254189,color-seed2000
8800,0.0519599953666329,color-seed2000
9000,0.0511782498657703,color-seed2000
9200,0.0523759671952575,color-seed2000
9400,0.0506348252203315,color-seed2000
9600,0.0506478669401258,color-seed2000
9800,0.0508326171804219,color-seed2000
200,0.2614347843453288,color-slowpace
400,0.1754560110718012,color-slowpace
600,0.1563349670916795,color-slowpace
800,0.1437391164526343,color-slowpace
1000,0.1330866293981671,color-slowpace
1200,0.1268566002324223,color-slowpace
1400,0.1198012118414044,color-slowpace
1600,0.1148542053997516,color-slowpace
1800,0.108610248658806,color-slowpace
2000,0.1086074532940983,color-slowpace
2200,0.1027284351177513,color-slowpace
2400,0.1007474970072507,color-slowpace
2600,0.0985002724826335,color-slowpace
2800,0.0932100371271371,color-slowpace
3000,0.0902026620693504,color-slowpace
3200,0.0865996599569916,color-slowpace
3400,0.0836778403259813,color-slowpace
3600,0.0803080566786229,color-slowpace
3800,0.079926812890917,color-slowpace
4000,0.0757775872759521,color-slowpace
4200,0.0731785591319203,color-slowpace
4400,0.0704435280337929,color-slowpace
4600,0.067779047396034,color-slowpace
4800,0.0639417456835508,color-slowpace
5000,0.065324796102941,color-slowpace
5200,0.0645184926688671,color-slowpace
5400,0.0613473884575068,color-slowpace
5600,0.0592417437769472,color-slowpace
5800,0.0590491126850247,color-slowpace
