policy,condition,seed,cell,episode,n_frames,duration_s,max_dev_deg,departed,latency_s,deg_per_step,peak_deg_step,exec_s,success,failure_mode,regrasp,instance
clean-seed2000,clean,2000,different_object,12,1151,38.33333206176758,118.27,True,30.8,0.8054,7.012,7.53,0,timeout_other,,-
clean-seed2000,clean,2000,different_object,13,1150,38.29999923706055,115.04,True,28.87,0.7623,5.535,9.43,1,success,,-
clean-seed2000,clean,2000,different_object,14,889,29.600000381469727,120.52,True,15.7,0.7565,6.749,13.9,1,success,,-
clean-seed2000,clean,2000,different_object,15,1101,36.66666793823242,116.16,True,23.87,0.783,7.506,12.8,1,success,,-
clean-seed2000,clean,2000,distractors,1,449,14.933333396911621,116.35,True,1.7,0.8303,12.063,13.23,0,grasp_drop,,-
clean-seed2000,clean,2000,distractors,2,483,16.066667556762695,116.3,True,4.23,0.8225,7.534,11.83,1,success,,-
clean-seed2000,clean,2000,distractors,3,1149,38.266666412353516,120.38,True,2.17,0.7697,11.441,36.1,0,contact_no_grasp,,-
clean-seed2000,clean,2000,distractors,4,1151,38.33333206176758,114.87,True,3.93,0.7888,16.959,34.4,0,contact_no_grasp,,-
clean-seed2000,clean,2000,distractors,5,510,16.96666717529297,123.27,True,2.9,0.7779,17.299,14.07,1,success,,-
clean-seed2000,clean,2000,distractors,6,677,22.53333282470703,122.35,True,8.7,0.7375,5.827,13.83,1,success,,-
clean-seed2000,clean,2000,distractors,7,478,15.899999618530273,115.22,True,2.07,0.7755,7.038,13.83,1,success,,-
clean-seed2000,clean,2000,distractors,8,536,17.83333396911621,118.94,True,4.87,0.7834,7.427,12.97,1,success,,-
clean-seed2000,clean,2000,distractors,9,601,20.0,120.3,True,5.1,0.7636,5.63,14.9,1,success,,-
clean-seed2000,clean,2000,distractors,10,1151,38.33333206176758,117.87,True,2.37,0.7851,11.062,35.97,0,contact_no_grasp,,-
clean-seed2000,clean,2000,distractors,11,482,16.03333282470703,118.86,True,1.5,0.764,8.332,14.53,1,success,,-
clean-seed2000,clean,2000,distractors,12,538,17.899999618530273,116.05,True,4.8,0.8121,8.073,13.1,1,success,,-
clean-seed2000,clean,2000,distractors,13,446,14.833333015441895,117.91,True,1.5,0.8233,5.985,13.33,1,success,,-
clean-seed2000,clean,2000,distractors,14,536,17.83333396911621,112.63,True,2.43,0.8352,10.012,15.4,1,success,,-
clean-seed2000,clean,2000,distractors,15,1151,38.33333206176758,116.38,True,1.3,0.7489,10.249,37.03,0,contact_no_grasp,,-
clean-seed2000,clean,2000,in_distribution,1,401,13.333333015441895,119.24,True,0.83,0.7866,9.392,12.5,1,success,,-
clean-seed2000,clean,2000,in_distribution,2,618,20.566667556762695,121.91,True,6.83,0.7972,7.349,13.73,1,success,,-
clean-seed2000,clean,2000,in_distribution,3,445,14.800000190734863,116.11,True,2.37,0.7706,7.629,12.43,1,success,,-
clean-seed2000,clean,2000,in_distribution,4,443,14.733333587646484,117.62,True,3.03,0.8402,7.165,11.7,1,success,,-
clean-seed2000,clean,2000,in_distribution,5,431,14.333333015441895,116.7,True,1.8,0.7712,7.343,12.53,1,success,,-
clean-seed2000,clean,2000,in_distribution,6,487,16.200000762939453,117.12,True,3.93,0.7406,5.558,12.27,1,success,,-
clean-seed2000,clean,2000,in_distribution,7,435,14.466666221618652,115.02,True,2.23,0.7198,5.737,12.23,1,success,,-
clean-seed2000,clean,2000,in_distribution,8,711,23.66666603088379,118.4,True,10.3,0.7487,6.378,13.37,1,success,,-
clean-seed2000,clean,2000,in_distribution,9,601,20.0,115.87,True,6.1,0.7764,20.864,13.9,1,success,,-
clean-seed2000,clean,2000,in_distribution,10,651,21.66666603088379,120.51,True,8.23,0.803,9.374,13.43,1,success,,-
clean-seed2000,clean,2000,in_distribution,11,620,20.633333206176758,117.31,True,7.37,0.7852,6.803,13.27,1,success,,-
clean-seed2000,clean,2000,in_distribution,12,429,14.266666412353516,116.69,True,2.27,0.8097,6.181,12.0,1,success,,-
clean-seed2000,clean,2000,in_distribution,13,508,16.899999618530273,117.31,True,5.13,0.8169,7.616,11.77,1,success,,-
clean-seed2000,clean,2000,in_distribution,14,580,19.299999237060547,117.81,True,5.43,0.7708,6.248,13.87,1,success,,-
clean-seed2000,clean,2000,in_distribution,15,541,18.0,119.73,True,4.07,0.7589,7.767,13.93,1,success,,-
