condition,eval_cell,seed,episode,instance,success,flagged,failure_mode,notes,
recovery,distractors,1000,4,-,1,,success,,
recovery,distractors,1000,5,-,1,,success,,
recovery,distractors,1000,6,-,0,,contact_no_grasp,Bumped cube out of place,
recovery,distractors,1000,7,-,1,,success,,
recovery,distractors,1000,8,-,1,,success,,
recovery,distractors,1000,9,-,0,,contact_no_grasp,Moved cube and can't recover after first grasp attempt,
recovery,distractors,1000,10,-,1,,success,,
recovery,distractors,1000,11,-,1,,success,"Slow to start, hesitated as if it were gonna drop it, then put it in the cup",
recovery,distractors,1000,12,-,1,,success,,
recovery,distractors,1000,13,-,1,,success,,
recovery,distractors,1000,14,-,1,,success,,
recovery,distractors,1000,15,-,1,,success,"Finished, but try to go again",
color,in_distribution,1000,1,-,1,,success,,
color,in_distribution,1000,2,-,1,,success,,
color,in_distribution,1000,3,-,1,,success,,
color,in_distribution,1000,4,-,1,,success,,
color,in_distribution,1000,5,-,1,,success,,
color,in_distribution,1000,6,-,1,,success,,
color,in_distribution,1000,7,-,1,,success,,
color,in_distribution,1000,8,-,1,,success,,
color,in_distribution,1000,9,-,0,,contact_no_grasp,,
color,in_distribution,1000,10,-,1,,success,,
color,in_distribution,1000,11,-,0,,grasp_drop,,
color,in_distribution,1000,12,-,1,,success,,
color,in_distribution,1000,13,-,1,,success,,
color,in_distribution,1000,14,-,1,,success,,
color,in_distribution,1000,15,-,1,,success,,
color,new_positions,1000,1,E1,0,,timeout_other,,
color,new_positions,1000,2,E1,0,,timeout_other,,
color,new_positions,1000,3,E1,0,,timeout_other,,
color,new_positions,1000,4,E2,0,,timeout_other,,
color,new_positions,1000,5,E2,0,,timeout_other,,
color,new_positions,1000,6,E2,0,,timeout_other,,
color,new_positions,1000,7,E3,0,,timeout_other,,
color,new_positions,1000,8,E3,0,,timeout_other,,
color,new_positions,1000,9,E3,0,,timeout_other,,
color,new_positions,1000,10,E4,0,,timeout_other,,
color,new_positions,1000,11,E4,0,,timeout_other,,
color,new_positions,1000,12,E4,0,,timeout_other,,
color,new_positions,1000,13,E5,0,,timeout_other,,
color,new_positions,1000,14,E5,0,,timeout_other,,
color,new_positions,1000,15,E5,0,,timeout_other,,
color,reduced_lighting,1000,1,-,1,,success,,
color,reduced_lighting,1000,2,-,0,,contact_no_grasp,Bumped cube and didn't recover,
color,reduced_lighting,1000,3,-,1,,success,,
color,reduced_lighting,1000,4,-,1,,success,,
color,reduced_lighting,1000,5,-,0,,contact_no_grasp,Bumped cube and didn't recover,
color,reduced_lighting,1000,6,-,1,,success,,
color,reduced_lighting,1000,7,-,1,,success,,
color,reduced_lighting,1000,8,-,1,,success,,
color,reduced_lighting,1000,9,-,1,,success,,
color,reduced_lighting,1000,10,-,1,,success,,
color,reduced_lighting,1000,11,-,0,,contact_no_grasp,Bumped cube and didn't recover,
color,reduced_lighting,1000,12,-,1,,success,,
color,reduced_lighting,1000,13,-,1,,success_after_recovery,"Had it, released it without picking up, moved a bit, but recovered",
color,reduced_lighting,1000,14,-,1,,success,,
color,reduced_lighting,1000,15,-,1,,success,,
color,different_object,1000,1,-,1,,success,,
color,different_object,1000,2,-,1,,success,,
color,different_object,1000,3,-,1,,success,,
color,different_object,1000,4,-,1,,success,,
color,different_object,1000,5,-,1,,success,,
color,different_object,1000,6,-,1,,success,,
color,different_object,1000,7,-,1,,success,,
color,different_object,1000,8,-,1,,success,,
color,different_object,1000,9,-,1,,success,,
color,different_object,1000,10,-,1,,success,,
color,different_object,1000,11,-,1,,success,,
color,different_object,1000,12,-,1,,success,,
color,different_object,1000,13,-,1,,success,,
color,different_object,1000,14,-,1,,success,,
color,different_object,1000,15,-,1,,success,,
color,distractors,1000,1,-,1,,success,,
color,distractors,1000,2,-,1,,success,,
color,distractors,1000,3,-,1,,success,,
color,distractors,1000,4,-,1,,success,,
color,distractors,1000,5,-,1,,success,,
color,distractors,1000,6,-,1,,success,,
color,distractors,1000,7,-,1,,success,,
color,distractors,1000,8,-,1,,success,,
color,distractors,1000,9,-,1,,success,,
color,distractors,1000,10,-,1,,success,,
color,distractors,1000,11,-,0,,contact_no_grasp,Bumped cube and didn't recover,
color,distractors,1000,12,-,1,,success,,
color,distractors,1000,13,-,1,,success,,
color,distractors,1000,14,-,0,,contact_no_grasp,Bumped cube and didn't recover,
color,distractors,1000,15,-,1,,success,,
